Animal_ID,Dose,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAc
1,10,966773.454901859,284047.113347827,105406.061336942,757058.078556888,456665.462058862,218898.349511309,72254.4275318271,199752.06044268,94364.5252385404
2,10,386388.960584126,304716.736695774,184928.647975512,294986.782412009,239754.301988888,250922.565039641,124181.609187967,188518.809248863,132923.134856972
3,10,650985.101127597,175328.03855817,131458.771798021,286067.265664606,293804.767379999,147212.088897551,115187.334120742,283495.067663401,166934.025340839
4,10,202767.341102744,298834.932315905,286857.056613031,273312.6470612,202616.817925895,204712.382210003,126778.814721226,166273.236721272,128064.119120945
5,10,267916.439653976,282487.766493185,233240.053590389,262020.928415025,284607.277777899,209543.148656053,172549.95621758,232487.481610819,179359.556730457
6,10,599554.993894905,455134.536175064,265155.72758071,441637.253712464,286146.716181245,275513.831055279,301228.734523023,343557.774853954,149878.860366473
7,10,140348.073850555,145098.876942715,140781.842487955,99386.3166744528,72707.945582962,56154.6239481911,137654.16780538,119564.644965008,88676.5697279921
8,10,283137.519180958,283542.570666753,106041.818704019,221728.490824943,179205.906062787,96633.9516783342,83111.4851768051,84028.868739464,109263.908565592
9,10,55503.3349788586,55383.4623072781,12970.8820312859,-11443.330652146,-84536.3740355098,-70673.2117813403,62720.4221961602,45103.6050058579,204121.07625723
10,5,174413.980754003,178318.168798157,128027.833430007,69818.3708275505,109485.481847471,102369.735727618,35696.5740808029,107650.704704102,99778.6191849481
11,5,118049.153980355,137992.811035773,99724.9672203932,176672.83853372,143849.605421768,113531.845337016,52765.88468473,121842.79836907,58960.5136789943
12,5,85127.4840322055,61107.0859537325,233592.504574518,345941.001332212,422441.654366508,317452.24631623,385561.172862813,116111.509760999,67872.404078793
13,5,347116.665958117,382885.684627009,300137.463661888,242118.415672561,258298.276654263,305781.754000637,439566.526891475,323887.723530229,198033.534183553
14,5,244403.620057653,174519.097131573,120633.018749807,230905.122683729,272446.359662095,127376.910881148,91556.546458346,178241.010685947,46984.9964499599
15,5,575695.401828744,634239.895095077,307621.84160485,330008.012435968,559473.679586983,601689.057897966,375620.464490096,325257.007065154,183918.230273649
16,5,68754.3455088577,42515.1850268317,-3200.32022028912,69645.0113791772,-27656.8476509781,-15710.6860695965,13011.5957993661,-29239.9923996753,4292.10985480818
17,5,53832.2877488835,21213.5214000441,-23057.5905798804,1958.94189668222,-35251.9882640219,-28778.5832497027,-30694.2485212351,26228.3402657746,12469.3013799056
18,5,-148142.394626438,-103398.185806422,-28841.1965105282,-124115.49084344,-143287.384464628,-136260.352021465,-83259.7874221962,-96451.0595697814,11226.1688093353
19,1,232901.945474369,106329.068068541,83300.038351796,226847.493199123,202205.685872318,62466.536190447,6986.73153362599,58688.1364545502,45247.4174448532
20,1,138522.207254149,71322.4910204343,25501.8163474862,7514.42079308116,15907.2400141916,14556.5921924659,-2931.29578286568,31370.9310941464,38206.7725900996
21,1,110335.253656131,71053.2698348947,9321.23042922455,86901.8889985186,68620.4985868765,61967.0628740846,29302.8084242614,11333.5224701138,-2537.01663736329
22,1,10064.3470601795,16161.1826198193,18302.7534185464,61356.1614843316,99380.3377935072,34083.0473186704,2134.2084735896,8402.38641953361,-2585.57938722389
23,1,69449.6841640559,-15761.4201922956,-10796.3231377008,30856.1817696396,42243.4625963691,7123.34460990513,-29417.0306554871,-27661.9604105064,31915.6125239342
24,1,69141.8285965318,52256.0155270676,46827.4801159626,43940.8355960098,28825.713760854,29321.3227560062,27402.4725478953,38823.8711770309,20073.4811957747
25,1,130311.219687149,47154.7041010819,44914.9978808628,126983.195392083,120621.162738116,32544.3338460364,19271.3790369449,72157.1605890825,87151.8525534857
26,1,-86583.9010897302,-90073.1759329597,-70436.1787925683,-83864.4918713272,-121988.128837678,-81535.3034117542,-53872.2154517576,-21074.1803357055,-20464.0480191988
27,0,-72850.4937963718,15732.2257672556,-60593.4551081784,-80270.7060178777,-107370.225468782,-105615.024571005,-34876.5983647106,-72200.7929955681,-73887.2292496606
28,0,-160434.918773102,-146116.327752199,-109599.623160199,-155420.198094688,-166569.784428614,-143097.263062021,-109128.649258676,-125444.550726673,-72178.5492138962
29,0,-84439.6654735135,-28443.6832779873,41335.4973041401,-45216.9859154961,-35098.9988121607,-43895.9396400768,-32827.9062709826,-30715.1264038561,-25356.1244021886
30,0,-58030.2601419801,-45500.6334106252,-62333.4815298236,-2583.31844965388,-66073.8754030942,-103459.752367005,-30743.8384606816,-77274.2475795408,-44804.3056785266
31,0,57196.5410028374,25380.9760469133,4554.12952090811,24416.9776683908,22308.370508529,24786.5007604634,17115.8388623897,18653.117902622,7802.00099674127
32,0,-167486.102394751,-177140.285810592,-159627.754924929,-111933.974045715,-75891.6937425842,-137273.929696651,-112003.452493457,-69837.1984355306,-13255.360648804
33,0,-42048.2901469543,-7299.85598486648,24496.6326076218,-41885.9955129627,-17287.4699151512,-54510.5141428077,-16123.5610236176,-8162.46067549777,21899.1170947333
34,0,-24038.2802720088,-28603.8435825677,-51772.2991156595,-40973.7479404245,-42296.4057112671,-87313.6156321197,-55529.1109626332,-57172.8917801575,-11558.961195149
