ID,Group,Sex,1,2,3,4,5,6
A1,VEH+KET,M,61235.270188628,79261.4175117598,103698.138491966,96120.4731251027,112131.831307552,163601.406935982
A2,VEH+KET,M,46689.6576512606,56518.3231876403,121190.190093142,136931.70467352,112794.223832264,138886.599754134
C3,VEH+KET,M,32790.0466392206,44575.824869292,59269.7111512757,62881.6008928417,72103.5764019959,35560.9516889934
C4,VEH+KET,M,35148.9743065907,53211.9117121469,34798.2837499684,52864.3807660583,58562.0631471972,78622.0308389043
F3,VEH+KET,M,27757.1609139173,53643.4125035838,74514.3125136009,77261.8830835117,69920.5820257822,64978.704087081
F4,VEH+KET,M,31362.4583043161,38617.8596985137,52196.192911907,55101.5446251651,71092.9118044257,83790.1707049277
G3,VEH+KET,M,40543.4907377855,74735.504768451,82399.6031687165,85631.4360069343,106748.415037852,90121.2478482129
G4,VEH+KET,M,57068.4376296749,68613.5540366773,76465.7791164399,72323.5821232428,84592.9167416349,80948.6864523285
A3,VEH+KET,F,51513.2905646148,80008.8356735388,98418.9258209207,141569.464900149,118727.360665118,123770.605275072
A4,VEH+KET,F,60822.7552435981,68399.7068056253,118805.835973555,118791.407919238,132055.967398615,100343.328170936
D3,VEH+KET,F,60168.9243833471,79745.0385981934,120979.954643959,109213.930126188,125926.226758664,139424.406699291
D4,VEH+KET,F,74364.2133405756,61905.5449679959,90554.9573373018,114657.221986335,124363.407180234,110844.714612734
H3,VEH+KET,F,75692.5238016085,72317.4695949563,88490.5746785245,122682.103904013,129118.785226059,180852.79575542
H4,VEH+KET,F,70615.3462353947,62467.149531052,89576.9575977448,138623.560165631,110434.87617847,65145.5248465103
J3,VEH+KET,F,79450.8539744817,58513.7566577806,146550.789123476,152661.176853976,150190.617130156,143451.848128884
J4,VEH+KET,F,72611.6334098872,50018.1191481737,73707.8838713154,111613.165433529,121381.356003161,109272.543048558
B3,NTX+KET,M,54195.2544945473,68523.6414337203,66999.0045163043,34100.8074446549,26231.519773501,49257.0925532282
B4,NTX+KET,M,54755.5624971984,36088.2405272075,43755.1976572132,26907.5851476721,22733.3371413537,47625.5821910353
C1,NTX+KET,M,57804.8155214218,47872.4024820705,40638.0914930899,39540.2974637884,22350.6802050321,23850.8203298904
C2,NTX+KET,M,39148.4605351849,57088.9725625833,93953.6704894562,96617.9057157149,80819.937413529,60756.0054484504
F1,NTX+KET,M,50245.0233373386,64486.2460016555,64613.4732089672,64510.3055052279,55424.4894006842,74224.4595990744
F2,NTX+KET,M,27924.2485747722,39416.3719870578,54667.0105799401,63297.1920967471,50495.2601861635,52576.4238472798
G1,NTX+KET,M,39488.4032872745,46944.7053585003,68394.7179586449,82366.1341277929,78195.606112304,34346.7002663016
G2,NTX+KET,M,77617.6744540556,88905.3801864861,106271.049792342,94581.1911285617,132233.03608671,92496.180525402
B1,NTX+KET,F,83456.8404068341,84421.0179781429,253848.341810385,186878.847219536,136352.752852852,146197.836178063
B2,NTX+KET,F,67217.2817585159,78027.0899097827,166153.193363903,169960.08052842,74956.1246724995,194445.784146131
D1,NTX+KET,F,66701.3281152094,70446.1528258756,68548.1562546952,69952.9139751776,89355.2927636173,83078.4458307535
D2,NTX+KET,F,71010.9929665579,48379.6558595303,83889.4509145608,108628.509838347,74097.5349535994,61336.6838950544
H1,NTX+KET,F,67719.7927752688,56220.1271915733,114492.653100769,115285.171042426,52830.6814442559,77248.759726813
H2,NTX+KET,F,54220.5725643525,50036.1512628579,96341.5026742074,84800.7035001795,85571.8071465843,86781.5124273866
J1,NTX+KET,F,70506.7808990354,34437.007158581,121259.246020702,115147.863707231,73967.3500058782,100671.398297184
J2,NTX+KET,F,77520.5215852629,58173.5239291802,85094.8880045077,124885.070997373,118165.200612384,95973.8073865139
E1,VEH+VEH,M,52311.2926803489,62549.0660726484,57945.7747037105,52473.6282605882,40358.8181528702,37925.7092008258
E2,VEH+VEH,M,29491.2795824742,44698.3573883446,30527.6603115746,46464.632982905,28977.5161925417,30124.0503475753
I1,VEH+VEH,M,60159.1357079565,62682.2749611015,64770.9316644507,75795.2602996901,74304.2195046373,76743.0295983382
I2,VEH+VEH,M,48110.9020237805,40369.5733814377,51398.3999955141,52529.9448022865,43966.4406453023,49266.2464668568
E3,VEH+VEH,F,79083.7674356446,80996.6930867513,81769.6193982491,76624.2359495014,78859.2615580074,61627.2929637954
E4,VEH+VEH,F,52264.2539371919,49852.3193857845,46706.197143473,56811.402546087,29902.9623743794,35619.757962099
I3,VEH+VEH,F,48101.600882717,33985.1092795591,52666.5229515229,61920.5804470409,43153.5675576154,63068.5450505882
I4,VEH+VEH,F,78440.5402212089,57322.5738051215,79148.2365557113,76229.0256389808,66980.3585912757,63073.7144265325
