Animal_ID,Sex,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAcC,NAcSh
1,M,117.282298075637,228.444532718142,96.8478725579526,65.9649128872189,53.0592858715568,138.950694444866,102.988596686117,200.128334252317,89.089092918027,66.6301752453979
2,M,258.389308415363,288.218405958337,147.714347198128,213.951172038616,162.879576764725,447.116640641589,297.914459820259,207.936895957527,79.7185307934504,78.8789329537227
3,M,81.537459166164,141.695900710976,114.742604416256,27.615484378687,48.884714114281,32.690112797106,39.277942413575,47.572400915548,32.5461389080816,70.1753741169695
4,M,11.4728201331541,2.6802651693108,-23.4440911698049,29.8654956282643,41.7659437805721,6.4227203536819,3.9334208058249,19.3449057409925,-2.62418105424246,-11.8674970975117
5,M,53.8390746775522,103.90516740669,61.9298793755247,108.029252481823,262.351609715027,205.991210407492,81.495294094915,62.1480999189817,25.2480994499146,24.6373526947554
6,M,285.761208958363,359.41141702235,163.903306914994,191.535018152424,340.391806200629,178.324369682083,153.806511957857,98.6131872322028,-21.2071267952953,-90.1474544303933
7,M,109.414697512853,214.805582368787,258.524963607815,73.5154151257702,77.3425216364422,134.811778239617,99.146110234699,118.737942984159,29.8477726480514,111.958229427756
8,M,31.22542669317,4.78016051419991,-20.3701655622975,10.7947305883872,20.3371442331012,41.0034760933845,4.2175962304743,4.1784279646676,20.1510888095488,24.4386804479181
9,M,228.902236188164,168.123002111961,67.1312450413443,209.540781438869,146.305004778597,140.095887542374,81.7988403346587,104.487327556282,66.9894814434794,22.620748886726
10,F,117.016504101844,91.7787443505415,25.252608704787,129.767278497059,101.13988740888,118.688986326247,74.908943306817,150.539967096551,84.5063977388863,45.7337439439632
11,F,282.712616972832,177.192027720724,98.8194048035289,114.259435015807,59.3825138644722,87.0281863656672,43.9282037586957,156.499855150038,73.6285725265783,57.9901271819622
12,F,236.189279533662,178.489782764513,51.205038219291,158.852080111899,129.173602523335,131.419913794595,72.6891381358124,114.280482668713,57.8221304675103,87.5002355231626
13,F,136.220658456401,58.4944551309418,34.8356799839004,69.4884084926683,-54.3560338477768,40.4995889670582,58.3505099723804,68.4077603342765,52.6199679003231,40.5261250656543
14,F,238.525830231741,103.282640906364,76.0932184900494,115.763193826286,140.733454629583,105.690544364901,137.555064095582,101.636404721392,40.2081277346846,32.800492799767
15,F,262.798528724864,268.051303627673,127.848765105531,189.4000689184,119.541181467252,127.745043264134,55.2175586459569,103.215052249805,65.3551784816943,56.6334083644216
16,F,281.879291966762,307.343186720854,185.964327999289,221.014491463555,259.019824523181,288.325253990298,105.923411995703,203.503071355207,116.699256784622,163.763048792607
17,F,236.017457784019,180.597666362354,76.3800786442344,170.913265329154,146.513395039,234.89555458172,104.824508638922,213.008006612804,95.3028826156127,45.4957254673363
18,F,256.023667512828,296.083934344314,222.105035437684,181.760680433847,226.877253663321,272.198837925129,195.450996294196,143.921334202143,86.6488210324868,86.986248390676
