Animal_ID,Treatment,Sex,Cg1,PrL,IL,M2,M1,S1,Ins,CPu,NAcC,NAcSh
1,NAL+KET,M,166.152648367637,261.805173841213,97.5530757657909,97.063414504236,76.9643385070754,145.718083255489,111.153276277158,230.485408274059,139.503373920986,104.545759503499
2,NAL+KET,M,302.887346368554,352.852077711202,178.771352863931,224.610876922028,168.033765000116,456.612635357849,322.564498029899,222.192553727547,86.9362190263144,95.2113366967643
3,NAL+KET,M,216.423279762574,382.584283846926,268.655929153741,128.112025775965,149.455978767896,157.882236270903,191.115107386952,178.988328468028,78.217336982284,123.402815070966
4,NAL+KET,M,58.6493362301072,67.0616479457867,41.0454451971421,54.7820835529872,61.1394775384786,40.6135779490309,24.8947226034248,32.3790896035366,9.37725018854364,18.1325865579946
5,NAL+KET,M,89.4109201628531,140.324073727706,87.8143784478833,114.018251556749,265.305987053516,206.322727864802,89.0898277460161,83.7464625287003,43.2459906891415,41.2172669816518
6,NAL+KET,M,295.419726900934,405.753429575753,342.193245704824,178.284099930453,308.535926162722,157.460079063999,150.223896964718,100.768853688942,30.181170221015,41.6465471504317
7,NAL+KET,M,200.898512493755,331.746613076566,375.731029595086,124.481272873476,162.831071150576,223.651891895098,132.383713803273,193.512321816546,94.267448148211,142.366875244442
8,NAL+KET,M,83.7374225238492,70.8010107466402,32.1269228489761,46.4564407984454,41.6257643859763,70.1081414779889,37.2194763445126,30.0476951799677,33.4143522308647,40.9655944641198
9,NAL+KET,M,264.860582147533,191.073706278004,103.877357420761,228.118935656408,177.394633141467,176.774541533125,111.666704250445,154.901940483938,82.5784103306979,45.4730763412115
1,VEH+KET,M,372.083176307411,260.771807937137,147.646298017422,281.907942820916,199.81854292481,198.122073104815,105.013803921813,237.835061248146,131.968615999646,128.92837582045
2,VEH+KET,M,352.639965722981,188.626596749813,96.2734076965265,225.902699897061,220.765048647703,149.812774901028,119.142020184127,242.093352065479,128.924929639926,79.4400504857771
3,VEH+KET,M,216.156248355928,365.103209263489,148.497170452926,234.754288688997,303.796100559865,318.604067706457,218.058007400326,197.17069013002,101.925274093942,78.7767293841678
4,VEH+KET,M,181.114222340794,187.868763466233,124.903433360634,136.918899638182,134.425097236462,78.912296130865,82.0240314915422,70.1268681850019,29.4034513759452,68.4184788287484
5,VEH+KET,M,171.324329612896,249.316811494189,160.997792903643,119.821109580657,284.499551344969,319.389967815873,149.983855908613,154.935377835048,80.0966267284414,33.5777600245802
6,VEH+KET,M,418.076267534569,173.400505411369,95.2697353394078,252.574570810204,447.188735347151,148.647639088924,66.4624160444608,149.609431726298,88.6322933113724,47.2335971077673
7,VEH+KET,M,312.071543620691,362.510458050179,175.721881335558,177.459934497347,220.722449179798,260.740561642581,146.970661783642,177.132902346294,85.0338635308368,73.7684732283805
8,VEH+KET,M,348.27892055831,295.962992831906,107.356891556033,195.959026527846,198.481296290256,215.617107174306,127.031729529871,167.146513559302,118.549645124478,87.4177179829889
9,VEH+KET,M,301.390886997328,320.701135280061,107.312030775985,133.446101331965,170.749682701848,186.529375581237,98.1279664591,177.487701315522,124.203427682551,62.543401891029
