Animal_ID,Sex,Weight,Treatment,NTX,KET,PSD95,DAPI
1,M,430,VEH+KET,0,1,152,277.3
2,M,325,VEH+KET,0,1,112,259.4
3,F,269,VEH+KET,0,1,55,262.9
4,F,271,VEH+KET,0,1,45,278.4
5,M,417,NTX+KET,1,1,50,257.5
6,M,436,NTX+KET,1,1,47,262.7
7,F,250,NTX+KET,1,1,41,274.2
8,F,254,NTX+KET,1,1,39,269.2
9,M,335,NTX+KET,1,1,67,259.7
10,M,339,VEH+KET,0,1,109,271.3
11,M,353,VEH+VEH,0,0,46,262.4
12,M,304,VEH+VEH,0,0,32,268.4
13,M,322,VEH+VEH,0,0,40,282.1
14,F,235,NTX+KET,1,1,53,277.6
15,F,227,VEH+KET,0,1,59,266.3
16,F,237,VEH+VEH,0,0,37,265.4
17,F,217,VEH+VEH,0,0,31,266.5
18,F,205,VEH+VEH,0,0,29,280.1
19,M,323,NTX+KET,1,1,39,264.9
20,F,224,NTX+VEH,1,0,37,256.2
21,M,359,NTX+VEH,1,0,40,249.9
22,F,216,NTX+VEH,1,0,46,261.3
23,F,244,NTX+KET,1,1,42,273.1
24,M,364,NTX+VEH,1,0,50,280.7
25,F,259,VEH+VEH,0,0,41,267.8
26,M,360,NTX+VEH,1,0,61,280
27,F,257,VEH+KET,0,1,55,258.1
28,F,246,NTX+VEH,1,0,38,263.2
29,M,358,VEH+VEH,0,0,45,273.6
30,M,356,VEH+KET,0,1,107,274.2
31,M,362,NTX+VEH,1,0,46,255.9
32,F,250,NTX+VEH,1,0,53,260.7
